frame_number,timestamp,track_id,class,x1,y1,x2,y2,confidence
21,2025-05-31 14:59:35.873993,4,person,1199.5952,403.4818,1355.3192,703.4844,0.69373965
21,2025-05-31 14:59:35.874715,8,motorcycle,1544.2719,525.97003,1669.863,658.56934,0.7097304
21,2025-05-31 14:59:35.875481,14,motorcycle,249.03407,515.83655,841.4517,919.41095,0.6004584
21,2025-05-31 14:59:35.876163,21,person,343.6274,362.069,486.2321,622.51697,0.68877786
21,2025-05-31 14:59:35.876777,13,person,1684.9116,443.11066,1778.4545,614.5807,0.5047845
21,2025-05-31 14:59:35.877385,11,person,645.6245,373.5076,773.55884,566.8138,0.53474605
21,2025-05-31 14:59:35.878198,18,person,501.48288,376.06024,739.6246,738.4828,0.59970045
22,2025-05-31 14:59:36.356309,1,person,1569.6182,435.53326,1686.8998,618.66003,0.7004353
22,2025-05-31 14:59:36.357344,3,motorcycle,1150.0958,546.8982,1377.8167,749.67865,0.81122637
22,2025-05-31 14:59:36.358161,4,person,1212.8488,404.64136,1366.8068,697.8558,0.64885265
22,2025-05-31 14:59:36.358878,8,motorcycle,1551.2305,525.3963,1672.9014,655.50946,0.56967807
22,2025-05-31 14:59:36.359621,14,motorcycle,342.82877,518.6417,878.04535,912.8645,0.6869557
22,2025-05-31 14:59:36.360278,21,person,371.7758,364.91672,512.9327,621.4757,0.7533661
22,2025-05-31 14:59:36.360888,13,person,1689.1833,442.7993,1781.0663,614.22614,0.6388382
22,2025-05-31 14:59:36.361513,10,truck,1328.6278,299.08688,1719.9546,574.8414,0.54494613
23,2025-05-31 14:59:36.839619,1,person,1573.8127,434.86014,1688.057,622.41705,0.6859019
23,2025-05-31 14:59:36.840854,3,motorcycle,1164.7119,539.5471,1389.2869,744.1254,0.7879717
23,2025-05-31 14:59:36.842062,4,person,1228.5195,402.5744,1374.7937,701.3175,0.5389465
23,2025-05-31 14:59:36.843328,8,motorcycle,1559.6722,526.4471,1677.9886,653.5878,0.6843736
23,2025-05-31 14:59:36.844698,14,motorcycle,411.4632,523.0566,902.2482,907.22986,0.75320864
23,2025-05-31 14:59:36.845940,21,person,398.4786,364.2598,566.88196,621.82306,0.5920266
23,2025-05-31 14:59:36.847286,23,motorcycle,219.34293,454.99002,541.6111,812.5235,0.5726859
23,2025-05-31 14:59:36.848636,18,person,583.7956,384.18353,807.7438,670.8008,0.52560383
24,2025-05-31 14:59:37.345670,1,person,1578.4492,432.14032,1689.7504,624.58417,0.7125207
24,2025-05-31 14:59:37.346847,3,motorcycle,1180.2515,536.0719,1398.1481,740.1069,0.82224333
24,2025-05-31 14:59:37.348028,4,person,1242.343,403.08926,1383.8698,692.3643,0.56341666
24,2025-05-31 14:59:37.349340,8,motorcycle,1565.2958,529.6079,1682.3003,651.11615,0.5920108
24,2025-05-31 14:59:37.350469,14,motorcycle,463.09964,515.89087,924.11194,899.0582,0.825865
24,2025-05-31 14:59:37.351786,21,person,426.10837,363.28885,587.7374,619.7989,0.5918435
24,2025-05-31 14:59:37.353079,23,motorcycle,223.8291,456.71033,588.20166,810.0919,0.6277469
24,2025-05-31 14:59:37.354231,24,truck,0.0,401.12692,237.60237,689.3669,0.6501693
24,2025-05-31 14:59:37.355505,18,person,618.9233,390.26373,855.5297,775.4278,0.5670358
24,2025-05-31 14:59:37.356542,9,truck,843.5267,371.8859,1262.4803,636.18164,0.54946655
25,2025-05-31 14:59:37.963439,1,person,1586.1687,433.5301,1696.1027,622.80444,0.71456265
25,2025-05-31 14:59:37.964619,3,motorcycle,1191.8906,536.1988,1406.3276,736.3573,0.8071755
25,2025-05-31 14:59:37.965463,4,person,1255.2777,404.14038,1400.0864,684.2111,0.66504854
25,2025-05-31 14:59:37.966257,8,motorcycle,1573.2473,530.3936,1685.8632,650.1236,0.7006691
25,2025-05-31 14:59:37.967085,14,motorcycle,514.6766,516.93036,946.4406,890.63556,0.80500764
25,2025-05-31 14:59:37.967936,21,person,453.89978,366.25778,606.84924,614.52075,0.56641847
25,2025-05-31 14:59:37.968739,23,motorcycle,274.22336,459.5413,632.176,808.0322,0.74600816
25,2025-05-31 14:59:37.969378,24,car,0.0,407.0341,254.96545,687.7318,0.6692873
25,2025-05-31 14:59:37.970720,18,person,653.2446,393.64114,881.03357,788.1896,0.52525866
25,2025-05-31 14:59:37.971732,9,truck,857.35736,371.3268,1273.5001,634.2253,0.5126889
25,2025-05-31 14:59:37.972466,11,person,746.9821,373.51285,856.3736,552.8645,0.5482304
26,2025-05-31 14:59:38.489951,1,person,1592.0621,432.70398,1702.542,619.99036,0.66628385
26,2025-05-31 14:59:38.490735,3,motorcycle,1209.1812,538.98,1416.9371,734.8924,0.8272611
26,2025-05-31 14:59:38.491601,4,person,1256.8466,404.2365,1411.341,684.56335,0.57414526
26,2025-05-31 14:59:38.492534,8,motorcycle,1579.1167,521.5224,1690.5424,648.1595,0.6524026
26,2025-05-31 14:59:38.493687,14,motorcycle,560.27386,521.9856,971.5479,882.7379,0.8351896
26,2025-05-31 14:59:38.494821,23,motorcycle,300.25076,459.4005,677.2669,802.70325,0.74742967
26,2025-05-31 14:59:38.495732,24,car,0.4764874,397.78723,278.40836,687.15106,0.7898245
27,2025-05-31 14:59:38.946043,1,person,1597.9181,434.1868,1710.5024,625.9097,0.65790653
27,2025-05-31 14:59:38.946712,3,motorcycle,1222.9983,539.9748,1426.44,730.26044,0.8189927
27,2025-05-31 14:59:38.947462,4,person,1275.1489,404.30798,1422.9633,682.6816,0.70790946
27,2025-05-31 14:59:38.948050,8,motorcycle,1585.4567,522.5604,1694.4905,646.71246,0.635231
27,2025-05-31 14:59:38.948646,14,motorcycle,597.0487,538.8688,1006.61633,878.0217,0.8312275
27,2025-05-31 14:59:38.949245,23,motorcycle,322.2522,459.83148,696.6897,798.8507,0.65369123
27,2025-05-31 14:59:38.949703,24,car,0.5001269,381.72647,299.5237,684.9957,0.6745179
27,2025-05-31 14:59:38.950331,10,truck,1354.0469,297.10687,1730.0325,570.5506,0.5225006
27,2025-05-31 14:59:38.951106,18,person,719.6129,396.95053,941.9675,777.06256,0.6724936
27,2025-05-31 14:59:38.951858,9,truck,881.1276,371.78168,1300.018,632.97754,0.54687965
